c	N	ns	r	alpha_s	ns_status	alpha_status
0.0005	60	0.974	0.032	-0.0	31	21
0.0005	65	0.975	0.028	-0.0	31	31
0.0005	70	0.977	0.026	-0.0	31	32
0.001	60	0.969	0.023	-0.0	12	12
0.001	65	0.971	0.02	-0.0	11	22
0.001	70	0.972	0.017	-0.0	21	21
0.0015	60	0.965	0.016	-0.0	12	13
0.0015	65	0.966	0.014	-0.0	12	13
0.0015	70	0.968	0.012	-0.0	12	12
0.02	60	0.733	0.0	0.0	33	33
0.02	65	0.733	0.0	0.0	33	33
0.02	70	0.733	0.0	0.0	33	33
