c	N	ns	r	alpha_s	ns_status	alpha_status
0.0005	60	0.975	0.016	0.0	21	31
0.0005	65	0.977	0.014	0.0	31	31
0.0005	70	0.978	0.013	0.0	31	32
0.001	60	0.97	0.011	0.0	11	12
0.001	65	0.972	0.01	0.0	11	21
0.001	70	0.973	0.008	0.0	21	21
0.0015	60	0.965	0.008	0.0	13	13
0.0015	65	0.966	0.007	0.0	12	13
0.0015	70	0.967	0.006	0.0	12	12
0.02	60	0.706	0.0	0.0	33	33
0.02	65	0.707	0.0	0.0	33	33
0.02	70	0.707	0.0	0.0	33	33
